period,indicator_code,value,source_type,source_url,source_document,source_series
202509,pensioner_count,9389688,PDF,https://www.seg-social.es/wps/wcm/connect/wss/43c4ab2e-fdf3-4345-bd08-b97862caf1de/202503_LIBRO%2BDE%2BPENSIONES%2Bmarzo.pdf?MOD=AJPERES,Informe oficial: pensionistas en alta a 1 de septiembre de 2025,CSV!value
202510,pensioner_count,9405352,PDF,https://www.seg-social.es/wps/wcm/connect/wss/43c4ab2e-fdf3-4345-bd08-b97862caf1de/202309_LIBRO%2BDE%2BPENSIONES%2Bseptiembre.pdf?MOD=AJPERES,Informe oficial: pensionistas en alta a 1 de octubre de 2025,CSV!value
202511,pensioner_count,9425383,article,https://laboralpensiones.com/pensiones-un-pozo-sin-fondo/,Artículo que cita los datos del INSS a 1 de noviembre de 2025,CSV!value
202512,pensioner_count,9438579,Excel,https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/inclusion/Documents/2025/261225-pensiones-contributivas-diciembre.xlsx,Excel adjunto a la nota oficial de diciembre de 2025,CSV!value
202601,pensioner_count,9455429,PDF,https://www.ccoo.es/e3d673a8a551afbd2b7b6f72e5a61b14000001.pdf,Informe que reproduce los datos de Seguridad Social de enero de 2026,CSV!value
202602,pensioner_count,9452148,PDF,https://www.seg-social.es/wps/wcm/connect/wss/a59fc4a1-faa7-48dd-9a0e-a20302891ae3/PTAS202602.pdf?MOD=AJPERES,Informe oficial: pensionistas en alta a 1 de febrero de 2026,CSV!value
202603,pensioner_count,9465415,article,https://www.inclusion.gob.es/es/w/la-pension-media-del-sistema-de-la-seguridad-social-alcanza-los-1.367-4-euros-en-marzo-un-4-5-mas-alta,Artículo oficial del Ministerio sobre marzo de 2026,CSV!value
202604,pensioner_count,9476277,PDF,https://www.seg-social.es/wps/wcm/connect/wss/a59fc4a1-faa7-48dd-9a0e-a20302891ae3/PTAS202409.pdf?MOD=AJPERES,Informe oficial: pensionistas en alta a 1 de abril de 2026,CSV!value
202605,pensioner_count,9478378,PDF,https://www.seg-social.es/wps/wcm/connect/wss/a59fc4a1-faa7-48dd-9a0e-a20302891ae3/PTAS202604.pdf?MOD=AJPERES,Informe oficial: pensionistas en alta a 1 de mayo de 2026,CSV!value
202606,pensioner_count,9494408,article,https://www.inclusion.gob.es/web/guest/w/la-seguridad-social-abona-10-5-millones-de-pensiones-en-la-nomina-de-junio-mes-que-incluye-la-paga-extraordinaria,Artículo oficial del Ministerio sobre junio de 2026,CSV!value
202607,pensioner_count,9511126,article,https://bibliovirtual.inclusion.gob.es/web/guest/w/la-pension-media-del-sistema-de-la-seguridad-social-alcanza-los-1.372-2-euros-en-julio-un-4-6-mas-alta-que-hace-un-ano,Artículo oficial del Ministerio sobre julio de 2026,CSV!value
202608,pensioner_count,9527484,article,https://www.inclusion.gob.es/es/w/la-pension-media-del-sistema-de-la-seguridad-social-se-situa-en-1.373-4-euros-en-agosto-un-4-6-mas-que-hace-un-ano,Artículo oficial del Ministerio sobre agosto de 2026,CSV!value
202509,pension_monthly_payroll,13638.08,PDF,https://www.juntaex.es/documents/77055/34486012/PC_ND_2025_09.pdf/ef21f13a-76c9-b90f-138a-4480ee25e220?t=1758874629265,Nota oficial que reproduce la nómina estatal de septiembre de 2025,article!payroll
202510,pension_monthly_payroll,13675.8,article,https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/inclusion/Paginas/2025/281025-pensiones-octubre.aspx,Nota oficial de octubre de 2025,article!payroll
202511,pension_monthly_payroll,13720.0,article,https://www.inclusion.gob.es/web/guest/w/la-seguridad-social-abona-este-mes-la-paga-extraordinaria-junto-a-la-mensualidad-a-9-4-millones-de-pensionistas,Nota oficial de noviembre de 2025,article!payroll
202512,pension_monthly_payroll,13750.1,PDF,https://www.inclusion.gob.es/gl/web/guest/w/la-seguridad-social-abona-en-diciembre-10-4-millones-de-pensiones-a-9-4-millones-de-pensionistas,Nota oficial de diciembre de 2025,article!payroll
202601,pension_monthly_payroll,14250.714,article,https://bibliovirtual.inclusion.gob.es/web/guest/w/la-pension-media-del-sistema-de-seguridad-social-se-situa-en-1.363-4-euros-al-mes-en-enero-un-4-5-por-ciento-mas-alta,Nota oficial de enero de 2026,article!payroll
202602,pension_monthly_payroll,14272.5,PDF,https://www.inclusion.gob.es/documents/20121/0/20260225%2BNP%2BPENSIONES%2BFEBRERO2026.pdf/ef6d58a9-53c6-43f7-f199-2a0f29294552?t=1772006319275,Nota oficial de febrero de 2026,article!payroll
202603,pension_monthly_payroll,14307.7,article,https://www.inclusion.gob.es/es/w/la-pension-media-del-sistema-de-la-seguridad-social-alcanza-los-1.367-4-euros-en-marzo-un-4-5-mas-alta,Nota oficial de marzo de 2026,article!payroll
202604,pension_monthly_payroll,14336.2,article,https://www.inclusion.gob.es/ca/w/la-pension-media-del-sistema-de-la-seguridad-social-alcanza-los-1.368-4-euros-en-abril-un-4-5-mas-alta,Nota oficial de abril de 2026,article!payroll
202605,pension_monthly_payroll,14365.0,article,https://www.inclusion.gob.es/es/w/la-pension-media-del-sistema-de-la-seguridad-social-alcanza-los-1.370-7-euros-en-mayo-un-4-6-mas-alta-que-hace-un-ano,Nota oficial de mayo de 2026,article!payroll
202606,pension_monthly_payroll,14397.519,article,https://inclusion.gob.es/web/guest/w/la-seguridad-social-abona-10-5-millones-de-pensiones-en-la-nomina-de-junio-mes-que-incluye-la-paga-extraordinaria,Nota oficial de junio de 2026,article!payroll
202607,pension_monthly_payroll,14431.9,article,https://revista.seg-social.es/-/la-pension-media-del-sistema-de-la-seguridad-social-alcanza-los-1.372-2-euros-en-julio-un-4-6-mas-alta-que-hace-un-ano,Nota oficial de julio de 2026,article!payroll
202608,pension_monthly_payroll,14470.4,article,https://www.inclusion.gob.es/es/w/la-pension-media-del-sistema-de-la-seguridad-social-se-situa-en-1.373-4-euros-en-agosto-un-4-6-mas-que-hace-un-ano,Nota oficial de agosto de 2026,article!payroll
202509,pensions_with_minimum_supplement,2122526,Excel,https://www.seg-social.es/wps/wcm/connect/wss/f9d84b31-057d-4509-b274-ece476de6319/MIN202509.xlsx?MOD=AJPERES,Excel oficial de complementos a mínimos de septiembre de 2025,Min_número_%!R5C2
202510,pensions_with_minimum_supplement,2122402,Excel,https://www.seg-social.es/wps/wcm/connect/wss/42bde88b-1f87-4533-8a45-6d801a6f1622/MIN202510.xlsx?MOD=AJPERES,Excel oficial de complementos a mínimos de octubre de 2025,Min_número_%!R5C2
202511,pensions_with_minimum_supplement,2123979,Excel,https://www.seg-social.es/wps/wcm/connect/wss/cc39f6ea-a2f8-41ec-b74d-8828942cb6af/MIN202511.xlsx?MOD=AJPERES,Excel oficial de complementos a mínimos de noviembre de 2025,Min_número_%!R5C2
202512,pensions_with_minimum_supplement,2124000,Excel,https://www.seg-social.es/wps/wcm/connect/wss/fdb32b62-eac0-4099-a23d-50e23e8b38bf/MIN202512.xlsx?MOD=AJPERES,Excel oficial de complementos a mínimos de diciembre de 2025,Min_número_%!R5C2
202601,pensions_with_minimum_supplement,2112987,Excel,https://www.seg-social.es/wps/wcm/connect/wss/413ca742-7d1a-41a8-a271-b33f6f63a338/MIN202601.xlsx?MOD=AJPERES,Excel oficial de complementos a mínimos de enero de 2026,Min_número_%!R5C2
202602,pensions_with_minimum_supplement,2106746,Excel,https://www.seg-social.es/wps/wcm/connect/wss/6ba84834-a16f-4d9d-9fe9-7a67f712deda/MIN202602.xlsx?MOD=AJPERES,Excel oficial de complementos a mínimos de febrero de 2026,Min_número_%!R5C2
202603,pensions_with_minimum_supplement,2108603,Excel,https://www.seg-social.es/wps/wcm/connect/wss/c8536fe3-7f4a-4782-8972-5937bbdb1a1a/MIN202603.xlsx?MOD=AJPERES,Excel oficial de complementos a mínimos de marzo de 2026,Min_número_%!R5C2
202604,pensions_with_minimum_supplement,2110851,Excel,https://www.seg-social.es/wps/wcm/connect/wss/859b1185-2570-4365-b001-ed7b7f02d1f3/MIN202604.xlsx?MOD=AJPERES,Excel oficial de complementos a mínimos de abril de 2026,Min_número_%!R5C2
202605,pensions_with_minimum_supplement,2111789,Excel,https://www.seg-social.es/wps/wcm/connect/wss/008130fd-e17a-4657-8758-bb597121386e/MIN202605.xlsx?MOD=AJPERES,Excel oficial de complementos a mínimos de mayo de 2026,Min_número_%!R5C2
202606,pensions_with_minimum_supplement,2113857,Excel,https://www.seg-social.es/wps/wcm/connect/wss/61261e30-d862-4411-8d6d-c9ef068583d3/MIN202606.xlsx?MOD=AJPERES,Excel oficial de complementos a mínimos de junio de 2026,Min_número_%!R5C2
202607,pensions_with_minimum_supplement,2116033,Excel,https://www.seg-social.es/wps/wcm/connect/wss/17e625a5-5a87-4a10-b61d-6d3b104951b6/MIN202607.xlsx?MOD=AJPERES,Excel oficial de complementos a mínimos de julio de 2026,Min_número_%!R5C2
202608,pensions_with_minimum_supplement,2117708,Excel,https://www.seg-social.es/wps/wcm/connect/wss/ec95ec5f-4957-46e6-a859-7c4540746cb4/MIN202608.xlsx?MOD=AJPERES,Excel oficial de complementos a mínimos de agosto de 2026,Min_número_%!R5C2
